    Hinst Name                                                         Module Name                  Inst Count           Total Area
--------------------------------------------------------------------------------------------------------------------------------
top                                                                                                       2222             6593.342
          u_systolic_array_top/sys_array/row[0].col[59].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102286          3               15.960
          u_systolic_array_top/sys_array/row[0].col[59].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106444          2               10.640
      u_systolic_array_top/sys_array/row[0].col[5].pe                  processing_element_N64_62672         12               41.762
        u_systolic_array_top/sys_array/row[0].col[5].pe/u_fp32_mac     fp32_mac_102403                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[5].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102340          3               15.960
          u_systolic_array_top/sys_array/row[0].col[5].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106498          2               10.640
      u_systolic_array_top/sys_array/row[0].col[60].pe                 processing_element_N64_62617         12               41.762
        u_systolic_array_top/sys_array/row[0].col[60].pe/u_fp32_mac    fp32_mac_102348                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[60].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102285          3               15.960
          u_systolic_array_top/sys_array/row[0].col[60].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106443          2               10.640
      u_systolic_array_top/sys_array/row[0].col[61].pe                 processing_element_N64_62616         12               41.762
        u_systolic_array_top/sys_array/row[0].col[61].pe/u_fp32_mac    fp32_mac_102347                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[61].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102284          3               15.960
          u_systolic_array_top/sys_array/row[0].col[61].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106442          2               10.640
